Career Cluster,Career Pathway,Occupation Title,Artistic,Conventional,Enterprising,Investigative,Realistic,Social,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,Less than a High School Diploma,High School Diploma,Post-Secondary Certificate - Award,Some College Courses,Associate's Degree (or other 2-year degree),Bachelor's Degree,Post-Baccalaureate Certificate - Award,Master's Degree,Post-Master's Certificate - Award,First Professional Degree - Award,Doctoral Degree,Post-Doctoral Training
Human Services,Counseling & Mental Health Services,Industrial-Organizational Psychologists,3.26,4.04,4.65,5.32,1.11,4.18,0.173382092,0.131644504,0.181210106,0.035159574,-0.10491578,0,0,0,3.85,3.85,3.85,0,57.69,0,0,30.77,0
Information Technology,Network Systems,Information Security Analysts,1.32,6.16,2.82,5.43,3.61,2.03,0.112526907,0.145049134,0.127786617,0.027388863,-0.106364062,0,0,7.16,2.01,12.87,52.64,22.52,2.8,0,0,0,0
Information Technology,Information Support and Services,Information Technology Project Managers,1.83,5.29,6.02,3.68,1.72,2.66,0.118476415,0.158150943,0.193231132,0.018330189,-0.117707547,0,0,9.52,0,23.81,38.1,19.05,9.52,0,0,0,0
Manufacturing,Quality Assurance,"Inspectors, Testers, Sorters, Samplers, and Weighers",1,5.36,1.38,3.42,5.73,1,0.09058692,0.135969816,0.097618781,0.023705981,-0.101352711,0,69.81,26.89,2.64,0.66,0,0,0,0,0,0,0
Education & Training,Professional Support Services,Instructional Coordinators,3.48,4.03,4.25,3.98,1.69,6.16,0.170818143,0.129114031,0.19263671,0.049381094,-0.103734633,0,0,0,0,0,24.83,0.14,59.84,10.85,4.21,0.14,0
Architecture & Construction,Construction,"Insulation Workers, Floor, Ceiling, and Wall",1.25,3.77,1,1.66,7,1,0.095031888,0.119221939,0.094955357,0.023303571,-0.09744898,29.37,68.21,2.42,0,0,0,0,0,0,0,0,0
Architecture & Construction,Construction,"Insulation Workers, Mechanical",1,4.23,1,2.41,6.92,1.25,0.093432481,0.12440809,0.094883998,0.026525877,-0.099702558,7.52,71.69,20.8,0,0,0,0,0,0,0,0,0
Finance,Insurance,"Insurance Appraisers, Auto Damage",1.12,5.46,3.6,3.03,5.05,1.7,0.092004008,0.147705411,0.143081162,0.019408818,-0.111202405,0,23.88,28.84,30.6,15.21,1.47,0,0,0,0,0,0
Finance,Insurance,Insurance Claims and Policy Processing Clerks,1,7,3.85,2.42,1.16,2.58,0.073131594,0.176646308,0.175863409,0.029144919,-0.115441421,0.46,54.85,7.64,9.33,21.13,6.58,0,0,0,0,0,0
Finance,Insurance,Insurance Sales Agents,1.18,5.3,5.84,2.29,1.1,3.69,0.099963918,0.170804124,0.216742268,0.027979381,-0.123597938,0,14.79,14.5,8.05,15.76,39.47,7.43,0,0,0,0,0
Finance,Insurance,Insurance Underwriters,1,6.27,4.48,3.52,1.57,2.88,0.093909736,0.167555781,0.177971602,0.028042596,-0.117281947,0,10,0,6.67,10,70,3.33,0,0,0,0,0
"Law, Public Safety, Corrections & Security",Law Enforcement Services,Intelligence Analysts,2.18,5.51,3.63,5.88,2.35,1.91,0.138131407,0.140219012,0.141258155,0.023103448,-0.104813607,0,0,0,4.35,8.7,65.22,8.7,13.04,0,0,0,0
Architecture & Construction,Design/Pre-Construction,Interior Designers,5.67,3.73,3.34,3.18,4.43,2.79,0.189576491,0.101244598,0.148184961,0.026127917,-0.085998271,0,0,0,4,4,84,0,4,0,4,0,0
Education & Training,Professional Support Services,Interpreters and Translators,4.4,4.64,1.88,3.16,1.89,3.51,0.178321355,0.114301848,0.148074949,0.042720739,-0.085184805,0,8.02,1.27,0,4.42,54.72,0,27.88,3.69,0,0,0
Business Management & Administration,Administrative Support,"Interviewers, Except Eligibility and Loan",1.38,6.01,3.66,1.92,1,4.13,0.095745856,0.166762431,0.193983425,0.043657459,-0.11361326,0,42.42,17.08,5.87,33.47,0.94,0,0.23,0,0,0,0
Business Management & Administration,General Management,Investment Fund Managers,1.47,5.25,6.77,3.71,1.66,2.56,0.111830065,0.163926237,0.202086835,0.014593838,-0.122600373,0,0,0,0,0,32.66,0,63.33,2.01,2.01,0,0
Hospitality & Tourism,Lodging,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",1,4.52,1.6,1.09,6.76,2.08,0.080234604,0.133354839,0.121730205,0.031032258,-0.103847507,13.51,62.41,0,0,0,23.48,0,0,0,0,0,0.6
"Law, Public Safety, Corrections & Security",Legal Services,"Judges, Magistrate Judges, and Magistrates",2.21,4.11,5.25,3.75,2.37,4,0.142037805,0.142710927,0.192332872,0.031078838,-0.113245735,0,0,0.16,0.16,0.16,0,0,0,0,23.29,66.47,9.77
"Law, Public Safety, Corrections & Security",Legal Services,Judicial Law Clerks,2.27,5.03,4.39,4.3,1.63,3.15,0.137905633,0.145421281,0.174419836,0.029374097,-0.10894078,0,7.16,2.18,0,0,0,0,2.05,0,16.52,51.87,20.21
Education & Training,Teaching/Training,"Kindergarten Teachers, Except Special Education",4,3.73,2.46,3.15,2.59,7,0.180998692,0.115503707,0.179463585,0.062368077,-0.094827737,0,0,0,0,0,75.66,10.54,13.8,0,0,0,0
Business Management & Administration,Human Resources Management,Labor Relations Specialists,1.65,4.66,5.68,3,1.26,3.83,0.122465139,0.1587749,0.209701195,0.029332669,-0.119412351,4.76,4.76,4.76,9.52,9.52,33.33,9.52,9.52,0,9.52,4.76,0
"Transportation, Distribution & Logistics",Transportation Operations,"Laborers and Freight, Stock, and Material Movers, Hand",1,4.6,1.81,1,6.13,1.43,0.073825924,0.137958673,0.121390106,0.02406387,-0.104477145,10.56,88.86,0,0.58,0,0,0,0,0,0,0,0
Architecture & Construction,Design/Pre-Construction,Landscape Architects,4.57,3.71,3.66,4.69,5.42,2.63,0.17671799,0.107277147,0.14071718,0.024124797,-0.093257699,0,0,0,0,0,67.86,3.57,17.86,0,10.71,0,0
Architecture & Construction,Maintenance/Operations,Landscaping and Groundskeeping Workers,1.9,3.34,1.8,1.62,7,1.45,0.116639392,0.114570427,0.116440678,0.022635885,-0.097837522,39.15,8.22,31.2,0,3.1,18.33,0,0,0,0,0,0
Manufacturing,Production,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",1,4.13,1,1.96,7,1,0.087911746,0.124232443,0.093175886,0.02378496,-0.099378496,18.19,31.64,11.58,28.86,0,0,0,0,0,9.62,0,0.1
Human Services,Personal Care Services,Laundry and Dry-Cleaning Workers,1.25,4.25,1.48,1.03,6.36,1.32,0.083728489,0.12970682,0.113371574,0.024327597,-0.100611855,65.22,34.16,0.62,0,0,0,0,0,0,0,0,0
Education & Training,Teaching/Training,"Law Teachers, Postsecondary",3.43,3.76,3.52,5.31,2.32,6.49,0.179424084,0.121904954,0.176612968,0.053012485,-0.101409585,0,0,0,0,1.07,0,0,15.44,2.06,46.18,35.26,0
"Law, Public Safety, Corrections & Security",Legal Services,Lawyers,2.32,4.54,5.54,4.52,1.17,3.45,0.145194986,0.147400186,0.19227948,0.026666667,-0.113426184,0,0,0,0,0,0,0,0,0,22.81,77.19,0
Manufacturing,Production,"Layout Workers, Metal and Plastic",2.77,3.95,1,2.64,6.43,1.03,0.13661055,0.106094276,0.094635241,0.023310887,-0.087553311,4.88,60.01,11.59,14.54,8.99,0,0,0,0,0,0,0
"Law, Public Safety, Corrections & Security",Legal Services,Legal Secretaries and Administrative Assistants,1.59,6.61,4.28,3.16,1.52,3.01,0.099137333,0.163445711,0.175865146,0.029573624,-0.112622707,0,17.31,14.32,13.23,48.14,7,0,0,0,0,0,0
Education & Training,Professional Support Services,Librarians and Media Collections Specialists,2.65,5.83,2.76,3.62,2.33,4.04,0.134088554,0.138780028,0.157498822,0.042755535,-0.100527555,0,0,4.45,10.22,3.65,8.19,2.74,64.65,4.67,0,1.44,0
Business Management & Administration,Administrative Support,"Library Assistants, Clerical",1.3,6.89,2.19,2.01,2.91,3.78,0.082651992,0.158034591,0.154119497,0.045807128,-0.106116352,8.6,49.83,10.74,14.14,12.12,4.56,0,0,0,0,0,0
Education & Training,Teaching/Training,"Library Science Teachers, Postsecondary",3.41,3.94,2.29,5.47,2.76,6.35,0.180363336,0.11681668,0.159876135,0.057398844,-0.096857969,0,0,0,0,0.93,0.93,0,24.57,0,0,65.24,8.32
Education & Training,Professional Support Services,Library Technicians,1.6,6.51,1.87,2.69,3.07,4.07,0.100570419,0.148662292,0.147839475,0.048717819,-0.10291267,0,15.02,17.05,8.85,27.66,29.62,0,1.81,0,0,0,0
Health Science,Therapeutic Services,Licensed Practical and Licensed Vocational Nurses,1.07,4.57,2.13,3.67,4.58,5.51,0.122782164,0.135847654,0.155968416,0.055805852,-0.108058523,0,0,34.77,38.24,15.9,11.09,0,0,0,0,0,0
"Law, Public Safety, Corrections & Security",Security & Protective Services,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",1,3.51,2.86,2.24,6.38,4.16,0.113116625,0.131300248,0.157588089,0.041513648,-0.110947891,39.22,21.13,17.28,5.05,16.1,1.22,0,0,0,0,0,0
"Transportation, Distribution & Logistics",Transportation Operations,Light Truck Drivers,1,4.55,2.3,1.44,6.65,1.43,0.080218768,0.136701209,0.124899252,0.021122625,-0.106655153,24.59,73.97,0,0.27,1.17,0,0,0,0,0,0,0
Architecture & Construction,Construction; Transportation Operations,"Loading and Moving Machine Operators, Underground Mining",1,3.78,1,2.19,7,1,0.095015654,0.120983093,0.09255479,0.023738259,-0.099373826,39.96,52.59,6.15,0,1.3,0,0,0,0,0,0,0
Finance,Banking Services,Loan Interviewers and Clerks,1,6.93,4.61,2.16,1,3.4,0.076617801,0.178172775,0.194413613,0.032251309,-0.119,0,42.85,12.12,0.09,6.69,38.26,0,0,0,0,0,0
Finance,Banking Services; Consumer Services,Loan Officers,1,6.02,5.03,2.3,1.24,3.76,0.089307494,0.172826873,0.20351938,0.032780362,-0.121080103,0,6.13,0,12.83,11.18,68.74,1.12,0,0,0,0,0
Human Services,Personal Care Services,"Locker Room, Coatroom, and Dressing Room Attendants",1.61,5.4,2.3,1,4.36,4.1,0.095556739,0.144043687,0.161294619,0.046334576,-0.105103889,22.02,64.84,5.47,7.68,0,0,0,0,0,0,0,0
Manufacturing,"Maintenance, Installation & Repair",Locksmiths and Safe Repairers,1.08,4.69,1.34,2.18,6.09,1.57,0.089616519,0.132147493,0.108501475,0.028454277,-0.101321534,0,65,30,5,0,0,0,0,0,0,0,0
"Transportation, Distribution & Logistics",Transportation Operations,Locomotive Engineers,1,4.55,2.12,3.45,6.76,1.94,0.103213925,0.130665994,0.1169778,0.027134208,-0.105529768,2.37,67.84,23.21,6.58,0,0,0,0,0,0,0,0
Hospitality & Tourism,Lodging,Lodging Managers,1.45,5.31,6.29,1.17,2.45,4.22,0.095902346,0.165830541,0.220416467,0.028477741,-0.122809957,18.32,1.15,0,5.89,3.05,71.6,0,0,0,0,0,0
"Agriculture, Food & Natural Resources",Natural Resources Systems,Log Graders and Scalers,1,6.31,1.76,2.37,4.98,1.1,0.069366438,0.149520548,0.111170091,0.023173516,-0.103447489,11.18,64.23,10.99,11.64,1.96,0,0,0,0,0,0,0
"Agriculture, Food & Natural Resources",Natural Resources Systems,Logging Equipment Operators,1,4.4,1.09,1.82,6.84,1.1,0.083686154,0.127716923,0.097113846,0.024473846,-0.100006154,55.42,43.69,0.89,0,0,0,0,0,0,0,0,0
"Transportation, Distribution & Logistics",Logistics Planning and Management Services,Logisticians,1.05,5.58,5.1,3.83,2.39,2.35,0.10144335,0.161674877,0.176940887,0.020009852,-0.118719212,0,8.33,8.33,8.33,0,75,0,0,0,0,0,0
"Transportation, Distribution & Logistics",Logistics Planning and Management Services,Logistics Analysts,1,6.84,4.41,3.98,3.22,1.55,0.085285714,0.162633333,0.152095238,0.016790476,-0.114661905,0,0,0,4.55,22.73,63.64,0,4.55,4.55,0,0,0
"Transportation, Distribution & Logistics",Logistics Planning and Management Services,Logistics Engineers,1.06,5.73,3.59,5.46,4,1.21,0.108327791,0.147173397,0.130441805,0.017334917,-0.110456057,0,0,5,5,10,75,0,0,0,5,0,0
Business Management & Administration,General Management,Loss Prevention Managers,1,5.64,5.63,3.71,3.79,2.7,0.098856253,0.157935024,0.176653316,0.019906542,-0.119612817,0,13.64,9.09,9.09,9.09,54.55,4.55,0,0,0,0,0
Health Science,Therapeutic Services,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",3.2,2.83,2.12,3.89,3.93,6.52,0.180431303,0.110569142,0.166416185,0.060618052,-0.097207648,0,0,0,0,0,17.39,21.74,56.52,4.35,0,0,0
Manufacturing,Production,Machine Feeders and Offbearers,1,4.6,1,2.04,7,1,0.083245192,0.127620192,0.0925,0.023990385,-0.099399038,20.73,72.98,3.99,0,2.3,0,0,0,0,0,0,0
Manufacturing,Production,Machinists,1.93,4.42,1.23,3.7,7,1.16,0.121774691,0.115889918,0.093662551,0.024032922,-0.09497428,13.63,35.91,33.12,17.34,0,0,0,0,0,0,0,0
Health Science,Diagnostic Services,Magnetic Resonance Imaging Technologists,1,4.93,1.24,4.71,5.41,3.42,0.118334138,0.130492516,0.117368421,0.044244326,-0.102897151,0,4.35,13.04,4.35,65.22,8.7,4.35,0,0,0,0,0
Hospitality & Tourism,Lodging,Maids and Housekeeping Cleaners,1.41,4.56,1.57,1,6.05,2.48,0.090902168,0.131857059,0.12913884,0.035307557,-0.101271236,44.6,35.51,6.67,2.37,0,5.88,0,0,0,0,0,4.97
Business Management & Administration,Administrative Support,"Mail Clerks and Mail Machine Operators, Except Postal Service",1,6.35,2.17,1,3.99,2.03,0.058143894,0.160102781,0.140665054,0.030483676,-0.107007255,45.39,48.44,0,0,6.17,0,0,0,0,0,0,0
Manufacturing,"Maintenance, Installation & Repair","Maintenance Workers, Machinery",1,4.48,1.2,2.15,7,1,0.085989305,0.127599525,0.095953654,0.022869875,-0.100475342,0,40.73,54.1,0,2.59,0,2.59,0,0,0,0,0
Manufacturing,"Maintenance, Installation & Repair","Maintenance and Repair Workers, General",1.21,4.16,1.53,2.51,7,1.78,0.102358439,0.124431006,0.109967015,0.028218802,-0.101544805,1.08,24.94,62.97,6.62,2.85,0.35,0,1.17,0,0,0,0
"Arts, Audio/Video Technology & Communications",Performing Arts,"Makeup Artists, Theatrical and Performance",6.84,2.69,2.96,1.49,4.39,3.04,0.21483886,0.084927604,0.156184026,0.028402616,-0.076945353,17.39,8.7,43.48,13.04,4.35,13.04,0,0,0,0,0,0
Business Management & Administration,Operations Management,Management Analysts,1.58,6.13,4.76,5.46,1.58,2.77,0.120915619,0.155421903,0.166135548,0.025691203,-0.113204668,0,0,0,9.52,0,57.14,9.52,23.81,0,0,0,0
Human Services,Personal Care Services,Manicurists and Pedicurists,2.3,3.68,2.29,1.32,5.72,2.96,0.12561029,0.121116585,0.146267105,0.034608648,-0.09941434,35.8,49.16,14.77,0.27,0,0,0,0,0,0,0,0
Architecture & Construction,Construction,Manufactured Building and Mobile Home Installers,1.52,3.9,1.17,1.9,6.83,1.71,0.106236054,0.119072225,0.106823253,0.029389313,-0.097480916,59.23,39.53,1.24,0,0,0,0,0,0,0,0,0
"Science, Technology, Engineering & Mathematics",Engineering and Technology,Manufacturing Engineers,2.1,4.48,3.06,4.67,5.18,1.51,0.133309524,0.127019048,0.126638095,0.02,-0.102552381,0,0,0,4,16,76,0,0,0,4,0,0
Marketing,Marketing Research,Market Research Analysts and Marketing Specialists,2.56,4.62,5.52,4.6,1.07,2.48,0.146868106,0.14641247,0.185323741,0.019074341,-0.111472422,0,0,0,0,0,56.52,4.35,39.13,0,0,0,0
Marketing,Marketing Management,Marketing Managers,2.45,4.7,7,2.9,1,2.82,0.130177288,0.157647341,0.2164207,0.014772401,-0.118802108,0,3.53,0,2.8,3.03,55.76,0,24.36,0,10.52,0,0
Human Services,Counseling & Mental Health Services,Marriage and Family Therapists,3.58,2.83,1.86,5.25,1.49,6.32,0.204617909,0.1095218,0.166858884,0.063933427,-0.09363338,0,0,0,0,2.05,0,0,78.96,2.6,9.75,4.95,1.7
Human Services,Personal Care Services,Massage Therapists,2.26,2.63,2.07,3.86,4.77,5.75,0.165731022,0.113809747,0.159175258,0.056822868,-0.101410497,0,3.85,73.08,7.69,11.54,3.85,0,0,0,0,0,0
"Science, Technology, Engineering & Mathematics",Engineering and Technology,Materials Engineers,2.54,4.11,2.06,5.83,5.89,1.37,0.15212844,0.113247706,0.104954128,0.02287156,-0.095779817,0,0,0,0,0,47.62,4.76,9.52,0,0,33.33,4.76
"Science, Technology, Engineering & Mathematics",Science and Mathematics,Materials Scientists,2.18,4.16,1.9,6.61,5.77,1.35,0.151511152,0.114852071,0.100100137,0.02394629,-0.097105143,0,0,0,0,4.76,61.9,4.76,9.52,0,0,14.29,4.76
Education & Training,Teaching/Training,"Mathematical Science Teachers, Postsecondary",3.07,4.44,1.96,5.8,2.84,6.17,0.172368204,0.119876442,0.152257002,0.057718287,-0.097174629,0,0,0,0,0,9.32,0.56,43,0,0,36.75,10.37
"Science, Technology, Engineering & Mathematics",Science and Mathematics,Mathematicians,3.23,5.27,1.16,7,3,1.97,0.168719371,0.115917707,0.101396209,0.033448914,-0.088728618,0,0,0,0,0,8.33,8.33,25,0,0,50,8.33
Manufacturing,Production,"Meat, Poultry, and Fish Cutters and Trimmers",1,4.03,1.45,1.84,7,1.34,0.089855942,0.126428571,0.106692677,0.024561825,-0.102238896,62.44,36.26,0,0,0,0,0,0,0,0,1.3,0
Architecture & Construction,Maintenance/Operations,Mechanical Door Repairers,1,3.83,1,1.75,6.88,1.49,0.09230094,0.122902821,0.101316614,0.028796238,-0.099987461,17.25,70.83,11.8,0.12,0,0,0,0,0,0,0,0
Manufacturing,Manufacturing Production Process Development,Mechanical Drafters,3.8,4.8,1.23,3.89,5.95,1.23,0.15337799,0.105602871,0.097717703,0.024200957,-0.084655502,0,0,7.98,7.45,61.28,20.25,0,2.8,0,0.13,0,0.13
Manufacturing,Manufacturing Production Process Development,Mechanical Engineering Technologists and Technicians,1.98,4.82,1.04,5.57,6.38,1.15,0.133825215,0.116150907,0.086370583,0.025835721,-0.094221585,0,7.8,32.84,8.76,14.09,36.52,0,0,0,0,0,0
"Science, Technology, Engineering & Mathematics",Engineering and Technology,Mechanical Engineers,2.2,4.65,1.76,5.3,6.6,1.1,0.1353031,0.116691347,0.097158723,0.021855622,-0.096131421,0,1.34,8.93,8.32,28.63,52.29,0,0.49,0,0,0,0
"Science, Technology, Engineering & Mathematics",Engineering and Technology,Mechatronics Engineers,2.42,4.92,1.6,5.67,5.86,1.46,0.14127679,0.117250342,0.099083447,0.025804834,-0.094655723,0,0,1.2,21.46,10.01,66.14,0,1.2,0,0,0,0
"Arts, Audio/Video Technology & Communications",Performing Arts,Media Programming Directors,3.92,4.74,6.75,2.22,1.28,3.71,0.150159151,0.143488064,0.214226348,0.021803714,-0.109341291,0,31.19,0,14.99,1.82,52,0,0,0,0,0,0
"Arts, Audio/Video Technology & Communications",Performing Arts,Media Technical Directors/Managers,3.49,4.35,4.94,2.72,3.93,2.55,0.14566879,0.129717925,0.172274795,0.01933576,-0.103494086,0,4.17,1.49,0.42,1.43,92.07,0,0.42,0,0,0,0
Manufacturing,"Maintenance, Installation & Repair",Medical Appliance Technicians,1.55,3.68,1,4.06,7,3.12,0.133209211,0.113841254,0.109941205,0.041180794,-0.098353748,5.75,21.22,10.16,8.63,26.27,18.17,0.28,9.51,0,0,0,0
Health Science,Therapeutic Services,Medical Assistants,1,5.76,1.98,3.8,4.06,4.81,0.108701541,0.14372256,0.147132181,0.051971042,-0.107211583,0,20.54,44.74,17.2,0.05,17.47,0,0,0,0,0,0
Health Science,Diagnostic Services,Medical Dosimetrists,1.38,4.94,2.12,5.24,4.47,3.68,0.129812185,0.132629409,0.132524049,0.041901054,-0.104525882,0,0,5,0,0,40,35,15,0,5,0,0
Health Science,Support Services,Medical Equipment Preparers,1,5.53,1,3.42,6.81,2.27,0.094628058,0.131407888,0.101902147,0.035341987,-0.100768847,0,43.76,31.22,4.42,3.52,15.3,0,1.78,0,0,0,0
Manufacturing,"Maintenance, Installation & Repair",Medical Equipment Repairers,1,5.2,1,4.59,7,1.81,0.106169903,0.126621359,0.092951456,0.031436893,-0.100300971,0,34.72,13.28,12.67,39.32,0,0,0,0,0,0,0
Health Science,Biotechnology Research and Development,"Medical Scientists, Except Epidemiologists",2.3,3.95,2.23,7,4.43,3.24,0.164155508,0.117684665,0.124185745,0.036946004,-0.099546436,0,0,0,0,0,7.95,0,24.59,6.85,0,35.91,24.7
Health Science,Health Informatics,Medical Secretaries and Administrative Assistants,1,6.66,3.16,3.05,2.38,4.14,0.091358509,0.161329083,0.167165277,0.043673369,-0.11212359,5.33,47.63,19.88,1.18,25.97,0,0,0,0,0,0,0
Health Science,Health Informatics,Medical Transcriptionists,1.75,6.22,1.22,3.58,2.46,3.69,0.114476744,0.143234672,0.134249471,0.050306554,-0.098604651,0,16.73,38.89,33.65,10.73,0,0,0,0,0,0,0
Health Science,Diagnostic Services,Medical and Clinical Laboratory Technicians,1,4.86,1,5.87,6.02,2.86,0.125127256,0.125242943,0.102373901,0.040050902,-0.101258677,0,4.24,0.44,0.91,30.9,45.93,10.47,6.8,0,0.31,0,0
Health Science,Diagnostic Services,Medical and Clinical Laboratory Technologists,1.11,4.99,1.55,6.17,5.78,2.8,0.127026786,0.127540179,0.108977679,0.036928571,-0.10278125,0,0.3,0,1.21,30.1,59.36,3.56,5.48,0,0,0,0
Health Science,Support Services,Medical and Health Services Managers,1.32,5.63,5.65,3.85,2.15,4.24,0.112889667,0.159049912,0.193870403,0.031926445,-0.119041156,0,3.57,7.14,3.57,10.71,46.43,0,21.43,0,3.57,0,3.57
Business Management & Administration,Operations Management,"Meeting, Convention, and Event Planners",2.44,5.27,7,1.43,1,4.52,0.11822253,0.162594645,0.23287627,0.027894737,-0.119741459,0,7.85,6.64,37.22,7.49,40.8,0,0,0,0,0,0
Human Services,Counseling & Mental Health Services,Mental Health Counselors,3.06,3.45,2.91,4.44,1.32,6.76,0.181604376,0.123997265,0.186294439,0.062041933,-0.101362808,0,5.58,0,0,2.43,24.6,0,64.39,0,0,3,0
Human Services,Counseling & Mental Health Services,Mental Health and Substance Abuse Social Workers,2.78,3.05,2.42,4.08,1.72,6.96,0.181775345,0.121289862,0.185188006,0.067201333,-0.101113755,0,0,0,0,0,18.78,0,77.18,4.04,0,0,0
Marketing,Merchandising,Merchandise Displayers and Window Trimmers,4.85,3,4.21,1.61,4.44,2.21,0.17730315,0.107121063,0.167844488,0.01753937,-0.092180118,0,39.46,8.7,19.52,14.68,17.64,0,0,0,0,0,0
Manufacturing,Production,Metal-Refining Furnace Operators and Tenders,1.02,3.95,1.11,2.73,6.8,1.04,0.09975976,0.122378378,0.09366967,0.023933934,-0.099897898,35.86,64.14,0,0,0,0,0,0,0,0,0,0
Business Management & Administration,Administrative Support,"Meter Readers, Utilities",1,6.66,1.38,2.56,4.66,2.2,0.074712893,0.149577465,0.116673889,0.035460455,-0.102611051,0,71.05,0.54,17.28,8.74,2.39,0,0,0,0,0,0
"Science, Technology, Engineering & Mathematics",Science and Mathematics,Microbiologists,1.84,3.9,1.19,7,5.34,2.12,0.156676017,0.113333333,0.097386629,0.033581113,-0.096666667,0,0,0,0,9.09,63.64,9.09,13.64,0,0,0,4.55
"Science, Technology, Engineering & Mathematics",Engineering and Technology,Microsystems Engineers,1.94,4.87,1.31,6.26,5.62,1.37,0.139265325,0.119026673,0.092531586,0.027051942,-0.095905475,0,0,0,0,0.3,30.61,13.11,34.17,0,0,21.81,0
Education & Training,Teaching/Training,"Middle School Teachers, Except Special and Career/Technical Education",3.98,3.6,2.55,3.31,2.64,7,0.182491334,0.115021664,0.179644714,0.061741768,-0.095316291,9.58,0,0,0,0,66.94,21.3,2.18,0,0,0,0
Health Science,Therapeutic Services,Midwives,1.78,3.57,2.69,3.88,3.78,5.99,0.148948824,0.128529276,0.17099124,0.056657446,-0.106837252,0,0,32.75,8.83,0,12.19,15.93,28.79,1.51,0,0,0
Manufacturing,Production,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",1.19,4.21,1,2.24,7,1,0.094669471,0.122271635,0.092241587,0.023762019,-0.098028846,9.7,47.3,15.03,9.13,0,18.83,0,0,0,0,0,0
Architecture & Construction,Maintenance/Operations,Millwrights,1.84,3.59,1.09,2.53,7,1,0.119929619,0.111026393,0.093982405,0.022621701,-0.09397654,4.55,45.45,36.36,9.09,4.55,0,0,0,0,0,0,0
"Science, Technology, Engineering & Mathematics",Engineering and Technology,"Mining and Geological Engineers, Including Mining Safety Engineers",1.53,4.63,2.75,5.6,6.07,1.85,0.128296924,0.12730272,0.118167633,0.024159608,-0.10449844,0,0,0,0.64,0.64,79.05,16.69,2.98,0,0,0,0
Manufacturing,Production,"Mixing and Blending Machine Setters, Operators, and Tenders",1.22,4.21,1.18,2.11,6.49,1.04,0.094541538,0.124953846,0.098467692,0.023489231,-0.098806154,1.51,80.32,11.87,6.3,0,0,0,0,0,0,0,0
"Transportation, Distribution & Logistics",Facility and Mobile Equipment Maintenance,"Mobile Heavy Equipment Mechanics, Except Engines",1,4.2,1,3.55,7,1,0.104338028,0.121661972,0.087464789,0.024366197,-0.09943662,2.65,29.63,54.58,7.87,5.28,0,0,0,0,0,0,0
Manufacturing,Production,"Model Makers, Metal and Plastic",2.82,3.85,1,3.12,6.95,1.05,0.140989888,0.103528473,0.091820117,0.023219798,-0.087897818,0,39.85,39.06,0,21.09,0,0,0,0,0,0,0
Manufacturing,Production,"Model Makers, Wood",3.86,3.99,1.55,2.59,7,1.35,0.152168142,0.100496559,0.105973451,0.022320551,-0.085412979,30.21,20.3,30.84,4.32,0,14.33,0,0,0,0,0,0
Marketing,Merchandising,Models,7,2.04,3.64,1,4.8,2.71,0.219070316,0.082071732,0.164591789,0.022147239,-0.078376593,17.41,76.3,0,2.35,0,3.94,0,0,0,0,0,0
Manufacturing,Production,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",1.49,4.13,1.05,2.41,7,1.06,0.104527421,0.118652275,0.093681447,0.02386231,-0.096318553,30.31,56.98,11.15,1.56,0,0,0,0,0,0,0,0
"Science, Technology, Engineering & Mathematics",Science and Mathematics,Molecular and Cellular Biologists,2.1,4.97,2.34,6.67,5,2.25,0.144320617,0.124093442,0.115113588,0.029314188,-0.100154308,0,0,0,0,0,34.62,0,7.69,0,0,23.08,34.62
Human Services,Personal Care Services,"Morticians, Undertakers, and Funeral Arrangers",1.58,4.91,4.59,1.39,3.74,4.3,0.104183325,0.151350561,0.193700634,0.035977572,-0.1150902,0,15.28,0,0.25,73.23,11.24,0,0,0,0,0,0
Hospitality & Tourism,"Recreation, Amusements & Attractions",Motion Picture Projectionists,2.98,4.58,2.08,1.95,5.42,2.02,0.13017341,0.119343142,0.128665265,0.027225434,-0.093168681,19.85,61.11,0,8.94,0,10.09,0,0,0,0,0,0
"Transportation, Distribution & Logistics",Facility and Mobile Equipment Maintenance,Motorboat Mechanics and Service Technicians,1,3.97,1.67,2.78,7,1.09,0.099320388,0.125174186,0.1035751,0.02128498,-0.102975443,6.61,23.62,53.7,11.53,4.54,0,0,0,0,0,0,0
"Transportation, Distribution & Logistics",Transportation Operations,Motorboat Operators,1.1,3.55,3.2,2.22,6.53,1.88,0.104258658,0.131915584,0.142186147,0.020703463,-0.11047619,34.64,39.74,2.15,8.61,0,13.95,0,0,0,0,0,0.91
"Transportation, Distribution & Logistics",Facility and Mobile Equipment Maintenance,Motorcycle Mechanics,1.18,3.58,1,3.1,7,1.44,0.113537572,0.116312139,0.095121387,0.028080925,-0.098682081,0,25.73,59.58,0,3.95,9.47,0,0,0,1.27,0,0
